Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object1.tif_projection.tif,353,2059,423,2166081,2186.6814,107.2265,1959,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object2.tif_projection.tif,869,2291,933,3457420,1638.7533,106.4898,2581,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object0.tif_projection.tif,1123,5868,1310,6413752,2279.3447,106.5629,2924,165
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object1.tif_projection.tif,271,745,287,3019116,2027.7607,106.851,2929,190
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object10.tif_projection.tif,530,2616,589,4343628,3234.1882,106.6173,2300,131
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object6.tif_projection.tif,1033,5500,1291,6165369,2129.2917,105.9424,2513,124
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object3.tif_projection.tif,677,3815,803,5602833,1993.6449,106.7045,2323,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object5.tif_projection.tif,464,2602,511,3655405,2448.8457,106.7702,2654,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object6.tif_projection.tif,502,1372,569,3849448,1666.6089,107.0116,2679,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object8.tif_projection.tif,660,1847,718,3160915,1770.1487,106.4425,2878,179
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object1.tif_projection.tif,1108,5247,1267,5955233,1853.1705,106.3168,2449,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object6.tif_projection.tif,483,2737,570,3266626,2510.9526,106.5474,5783,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object3.tif_projection.tif,889,3924,1026,4454265,2155.2896,106.704,2455,139
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object7.tif_projection.tif,699,3152,764,3969799,1950.8519,106.3868,3878,172
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object1.tif_projection.tif,232,1426,328,4939547,3993.9502,106.0809,2618,135
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object9.tif_projection.tif,472,1800,566,3886099,2030.239,106.07,2522,127
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object0.tif_projection.tif,595,4115,747,5687281,2568.4683,106.3681,1888,151
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object4.tif_projection.tif,102,703,110,1962840,2110.824,106.0393,2547,201
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object4.tif_projection.tif,374,1519,474,3473222,2036.8544,106.5005,2841,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object9.tif_projection.tif,742,4559,834,4138013,2082.7405,106.1142,2726,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object0.tif_projection.tif,1318,4191,1441,5515053,1995.1069,106.0347,2321,113
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object1.tif_projection.tif,479,2275,527,3834114,2239.0703,106.5216,2534,191
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object1.tif_projection.tif,1002,5504,1214,4566009,2501.6606,106.711,2377,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object5.tif_projection.tif,684,4551,883,6226736,2418.3296,106.7213,2166,120
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object7.tif_projection.tif,563,3372,972,5622241,2697.3262,106.223,2859,191
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object8.tif_projection.tif,1502,6015,1682,7112623,2110.9363,106.5815,2139,156
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object7.tif_projection.tif,330,1194,347,4252194,2582.7148,106.3299,2741,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object0.tif_projection.tif,297,1577,324,3333791,2177.1433,106.1391,2144,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object6.tif_projection.tif,157,1208,242,2730186,2579.425,106.3344,2734,210
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object2.tif_projection.tif,825,3267,883,6057940,2517.0046,105.4395,2503,149
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object5.tif_projection.tif,751,4525,885,4829212,2479.1965,106.1672,2381,148
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object0.tif_projection.tif,429,1213,468,3647260,2626.3354,107.3678,3017,209
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object5.tif_projection.tif,122,518,141,2068351,1941.9424,106.0596,2856,145
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object4.tif_projection.tif,802,3999,883,5153973,2967.5728,106.8412,2833,158
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object3.tif_projection.tif,319,1923,391,2003639,2028.3485,106.9246,2566,212
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object3.tif_projection.tif,772,2493,807,5135421,1630.3618,105.9528,2031,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object4.tif_projection.tif,386,1046,403,3267629,1782.6483,106.5643,2588,194
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object5.tif_projection.tif,898,3789,1001,3658218,2432.7644,106.5111,2248,175
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object3.tif_projection.tif,179,1740,299,5195103,2732.0305,106.1011,2875,184
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object7.tif_projection.tif,1704,7311,1920,8093419,2921.1013,106.9207,2453,123
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object6.tif_projection.tif,359,786,379,2823536,1895.8237,107.13,3233,182
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object6.tif_projection.tif,881,4358,977,4531579,2065.3535,106.9326,2278,147
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object2.tif_projection.tif,728,4604,890,3908636,2101.3184,106.8189,3841,180
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object9.tif_projection.tif,1130,5739,1254,6350861,2349.6753,106.6564,2939,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object7.tif_projection.tif,390,1575,451,2904481,2145.5417,106.9158,2789,207
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object9.tif_projection.tif,351,2378,427,2996589,2254.5674,106.4101,1967,171
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object0.tif_projection.tif,885,4320,1038,5071759,2619.4824,106.7039,2319,184
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object7.tif_projection.tif,827,5196,960,3631348,2530.5735,106.862,2969,118
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object6.tif_projection.tif,253,1443,297,3549929,2317.8542,106.3512,2325,190
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object6.tif_projection.tif,317,1879,361,2348831,1988.9755,106.1393,2703,159
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object5.tif_projection.tif,641,2403,701,3329556,1632.6101,106.4779,2998,181
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object0.tif_projection.tif,548,3335,619,3343961,2300.5737,106.5495,2253,154
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object5.tif_projection.tif,643,1448,691,6089839,2734.0566,106.669,3137,244
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object3.tif_projection.tif,56,48,44,217098,950.9681,106.25,1499,162
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object5.tif_projection.tif,260,2308,498,4139181,2199.5269,106.1448,2350,148
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object4.tif_projection.tif,214,514,231,1698638,2476.5708,107.1711,3963,318
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object2.tif_projection.tif,435,1328,474,3805520,2319.2554,106.7074,2256,134
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object1.tif_projection.tif,2316,9434,2488,10585425,2145.5391,107.3338,5202,139
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object2.tif_projection.tif,352,1547,385,2682116,2147.1113,106.6159,2593,211
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object2.tif_projection.tif,656,2286,707,4436296,1605.8716,106.7271,2297,202
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object8.tif_projection.tif,730,2339,780,7353822,2650.2634,106.3311,2808,158
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object6.tif_projection.tif,451,3030,692,3865098,2684.9033,106.7041,2732,200
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well3_Object0.tif_projection.tif,425,1383,458,3550913,2253.363,106.1934,2919,162
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object3.tif_projection.tif,900,3790,996,4180419,2489.8796,106.6126,2549,131
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object6.tif_projection.tif,482,2399,538,3660152,1953.7095,106.66,2186,181
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object6.tif_projection.tif,304,994,323,2253055,3042.7876,106.7951,2979,186
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object9.tif_projection.tif,568,1497,584,5000299,2040.8429,106.7623,3398,126
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object3.tif_projection.tif,0,1,0,694604,152.2598,105.7096,774,200
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object1.tif_projection.tif,620,1861,665,4108282,2312.2622,106.3799,3794,206
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object3.tif_projection.tif,1165,5204,1274,7192789,4392.0396,107.2361,2226,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object4.tif_projection.tif,802,4449,927,4280857,2223.5862,106.7115,2479,160
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object3.tif_projection.tif,244,1512,295,3026037,2714.8149,106.4588,2719,204
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object5.tif_projection.tif,621,3523,732,5846040,2363.4758,107.1971,1829,154
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object5.tif_projection.tif,478,2511,527,2167722,2982.8074,107.2888,2595,169
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object0.tif_projection.tif,511,1577,547,6127286,1911.0287,106.2306,1762,125
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object2.tif_projection.tif,263,920,276,2385985,3529.9292,107.0522,3293,253
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object6.tif_projection.tif,801,4332,898,4046916,2436.938,107.0876,3049,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object2.tif_projection.tif,1325,5428,1482,6826876,1997.6517,107.0497,2083,132
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object9.tif_projection.tif,818,2691,900,3358996,2953.7886,107.24,1764,145
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object7.tif_projection.tif,514,3469,608,3229461,2334.762,106.3815,2178,142
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object5.tif_projection.tif,231,488,241,2415585,1905.859,106.3554,2264,150
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object1.tif_projection.tif,633,2556,673,3781479,1910.5139,106.4401,2085,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object0.tif_projection.tif,167,951,190,1811644,2398.4241,106.7014,2538,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object2.tif_projection.tif,801,4240,1062,6917561,2224.269,106.5786,2333,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object9.tif_projection.tif,579,2875,657,4087785,2525.2266,106.6329,2758,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object7.tif_projection.tif,577,4451,692,3930007,2332.9395,106.914,2145,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object6.tif_projection.tif,1226,5447,1422,4986472,2350.3657,107.3059,2155,155
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object2.tif_projection.tif,415,2910,482,2995789,3233.9082,106.2718,2570,132
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object8.tif_projection.tif,147,1553,324,4100041,2475.4792,106.2888,2501,166
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object2.tif_projection.tif,245,1541,275,3627628,2404.1699,106.0029,2503,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object0.tif_projection.tif,282,2400,572,8329672,2435.8774,105.4851,3236,111
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object4.tif_projection.tif,947,3817,1049,4004969,1610.8276,106.5482,2460,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object9.tif_projection.tif,0,0,0,262689,108.3214,104.9097,385,169
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object2.tif_projection.tif,504,2706,614,2507039,2181.0071,106.9557,2168,172
